Energy(eV)   DOS_up   DOS_down   DOS_tot
1.7156160264 1.1826689412 1.1826718977 2.3653408389
1.7406683252 1.0649893646 1.0649924955 2.1299818600
1.7657206240 0.9428989646 0.9429021513 1.8858011159
1.7907729228 0.8207726281 0.8207757631 1.6415483912
1.8158252217 0.7024548416 0.7024578338 1.4049126754
1.8408775205 0.5910875991 0.5910903769 1.1821779761
1.8659298193 0.4890162685 0.4890187817 0.9780350503
1.8909821181 0.3977709871 0.3977732063 0.7955441934
1.9160344169 0.3181134291 0.3181153438 0.6362287728
1.9410867157 0.2501335123 0.2501351277 0.5002686400
1.9661390146 0.1933781090 0.1933794428 0.3867575518
1.9911913134 0.1469939423 0.1469950203 0.2939889626
2.0162436122 0.1098690741 0.1098699275 0.2197390016
2.0412959110 0.0807610030 0.0807616644 0.1615226674
2.0663482098 0.0584036102 0.0584041120 0.1168077222
2.0914005086 0.0415893465 0.0415897181 0.0831790646
2.1164528075 0.0292266057 0.0292268730 0.0584534787
2.1415051063 0.0203748968 0.0203750811 0.0407499778
2.1665574051 0.0142620823 0.0142622000 0.0285242823
2.1916097039 0.0102886654 0.0102887277 0.0205773931
2.2166620027 0.0080240300 0.0080240428 0.0160480728
2.2417143016 0.0071988808 0.0071988451 0.0143977259
2.2667666004 0.0076970881 0.0076969992 0.0153940872
2.2918188992 0.0095488982 0.0095487459 0.0190976441
2.3168711980 0.0129261616 0.0129259299 0.0258520915
2.3419234968 0.0181389532 0.0181386201 0.0362775732
2.3669757956 0.0256318100 0.0256313473 0.0512631573
2.3920280945 0.0359768662 0.0359762401 0.0719531063
2.4170803933 0.0498605296 0.0498597010 0.0997202306
2.4421326921 0.0680601263 0.0680590527 0.1361191790
2.4671849909 0.0914072654 0.0914059026 0.1828131680
2.4922372897 0.1207356354 0.1207339409 0.2414695762
2.5172895886 0.1568125898 0.1568105268 0.3136231165
2.5423418874 0.2002561545 0.2002536963 0.4005098507
2.5673941862 0.2514418190 0.2514389540 0.5028807730
2.5924464850 0.3104063482 0.3104030848 0.6208094330
2.6174987838 0.3767584275 0.3767547986 0.7535132262
2.6425510826 0.4496077325 0.4496037982 0.8992115307
2.6676033815 0.5275244844 0.5275203333 1.0550448177
2.6926556803 0.6085403463 0.6085360940 1.2170764402
2.7177079791 0.6901984471 0.6901942325 1.3803926796
2.7427602779 0.7696555375 0.7696515162 1.5393070537
2.7678125767 0.8438332398 0.8438295746 1.6876628144
2.7928648755 0.9096088246 0.9096056755 1.8192145001
2.8179171744 0.9640299025 0.9640274147 1.9280573172
2.8429694732 1.0045328617 1.0045311548 2.0090640164
2.8680217720 1.0291426932 1.0291418516 2.0582845448
2.8930740708 1.0366325566 1.0366326226 2.0732651791
2.9181263696 1.0266251429 1.0266261131 2.0532512561
2.9431786685 0.9996241763 0.9996260021 1.9992501785
2.9682309673 0.9569723920 0.9569749834 1.9139473754
2.9932832661 0.9007408711 0.9007441042 1.8014849753
3.0183355649 0.8335624310 0.8335661576 1.6671285886
3.0433878637 0.7584277214 0.7584317807 1.5168595021
3.0684401625 0.6784659667 0.6784701960 1.3569361627
3.0934924614 0.5967325652 0.5967368110 1.1934693762
3.1185447602 0.5160231831 0.5160273095 1.0320504927
3.1435970590 0.4387291499 0.4387330449 0.8774621948
3.1686493578 0.3667427782 0.3667463574 0.7334891355
3.1937016566 0.3014147169 0.3014179241 0.6028326410
3.2187539554 0.2435595365 0.2435623428 0.4871218793
3.2438062543 0.1935011842 0.1935035843 0.3870047685
3.2688585531 0.1511471346 0.1511491426 0.3022962772
3.2939108519 0.1160790947 0.1160807391 0.2321598337
3.3189631507 0.0876487868 0.0876501057 0.1752988924
3.3440154495 0.0650692211 0.0650702577 0.1301394788
3.3690677484 0.0474944771 0.0474952755 0.0949897526
3.3941200472 0.0340838320 0.0340844350 0.0681682670
3.4191723460 0.0240486955 0.0240491422 0.0480978377
3.4442246448 0.0166829341 0.0166832587 0.0333661928
3.4692769436 0.0113786607 0.0113788921 0.0227575528
3.4943292424 0.0076304063 0.0076305682 0.0152609745
3.5193815413 0.0050308571 0.0050309683 0.0100618254
3.5444338401 0.0032611750 0.0032612499 0.0065224249
3.5694861389 0.0020784713 0.0020785209 0.0041569922
3.5945384377 0.0013024221 0.0013024543 0.0026048764
3.6195907365 0.0008024118 0.0008024323 0.0016048441
3.6446430353 0.0004860496 0.0004860625 0.0009721121
3.6696953342 0.0002894688 0.0002894767 0.0005789455
3.6947476330 0.0001694965 0.0001695013 0.0003389978
